Name,IFN,IL1b,IL6,IL10,TNF
  SGC_365 Brain CPZ (De-My)  ,<0.000,0.072,0.448,0.840,0.117
  SAS9_232 Brain CPZ (De-My)  ,<0.000,0.001,0.506,0.553,0.054
  STMEM_113 Brain CPZ (De-My)  ,0.016,0.152,0.428,1.076,0.078
  STMEM_114 Brain CPZ (De-My)  ,0.013,0.015,0.250,0.761,0.119
  STMEM_116 Brain CPZ (De-My)  ,<0.000,0.028,0.660,1.061,0.081
  STMEM_115 Brain CPZ (De-My)  ,<0.000,0.091,0.812,1.029,0.137
  SAS9_244 Brain CPZ (De-My)  ,<0.000,0.034,0.487,0.887,0.076
  STMEM_165 Brain CPZ (De-My)  ,<0.000,0.164,0.349,1.014,0.159
  SAS9_193 Brain CPZ (De-My)  ,<0.000,0.140,0.564,0.697,0.085
  SGC_347 Brain CPZ (De-My)  ,0.014,0.206,0.349,0.784,0.132
  SGC_340 Brain CPZ (De-My)  ,<0.000,0.103,0.545,0.545,0.096
  SGC_341 Brain CPZ (De-My)  ,<0.000,0.091,0.717,1.342,0.121
  SGC_356 Brain CPZ (De-My)  ,<0.000,0.223,1.075,1.303,0.085
  SGC_355 Brain CPZ (De-My)  ,<0.000,0.078,1.112,1.163,0.148
  SGC_363 Brain CPZ (De-My)  ,<0.000,<0.000,0.428,0.617,0.044
  STMEM_143 Brain CPZ (De-My)  ,0.018,0.001,0.944,0.729,0.101
  STMEM_145 Brain CPZ (De-My)  ,<0.000,<0.000,0.602,0.880,0.019
  STMEM_89 Plasma CPZ (Re-my)  ,0.265,1.325,26.504,9.590,15.820
  STMEM_90 Plasma CPZ (Re-my)  ,0.387,0.971,57.241,9.313,10.699
  STMEM_91 Plasma CPZ (Re-my)  ,0.279,1.093,8.076,6.587,10.808
  STMEM_92 Plasma CPZ (Re-my)  ,0.419,0.932,33.212,12.920,3.917
  STMEM_122 Plasma CPZ (Re-my)  ,0.289,0.514,36.577,9.175,8.579
  STMEM_123 Plasma CPZ (Re-my)  ,0.133,1.165,46.672,16.470,11.193
  STMEM_125 Plasma CPZ (Re-my)  ,0.179,0.713,39.649,6.048,10.955
  STMEM_144 Plasma CPZ (Re-my)  ,0.808,0.797,24.549,6.823,11.105
  SAS9_230 Plasma CPZ (Re-my)  ,0.699,0.617,8.244,10.658,9.292
  STMEM_105 Plasma CPZ (Re-my)  ,0.492,1.182,18.951,7.478,8.256
  STMEM_104 Plasma CPZ (Re-my)  ,0.279,6.756,264.551,37.048,27.333
  STMEM_156 Plasma CPZ (Re-my)  ,0.333,1.182,87.761,19.873,11.521
  STMEM_153 Plasma CPZ (Re-my)  ,0.298,1.220,7.623,9.684,11.687
  STMEM_154 Plasma CPZ (Re-my)  ,0.494,0.993,33.306,12.494,14.750
  STMEM_155 Plasma CPZ (Re-my)  ,0.393,0.786,17.636,9.626,8.480
  STMEM_164 Plasma CPZ (Re-my)  ,0.457,0.514,4.956,6.882,7.434
  SGC_331 Plasma CPZ (Re-my)  ,0.399,0.870,9.228,6.137,7.587
  STMEM_89 Brain CPZ (Re-my)  ,<0.000,0.276,0.698,1.037,0.121
  STMEM_90 Brain CPZ (Re-my)  ,<0.000,0.085,1.019,1.249,0.150
  STMEM_91 Brain CPZ (Re-my)  ,0.023,0.109,0.850,1.186,0.110
  STMEM_92 Brain CPZ (Re-my)  ,<0.000,0.341,0.545,0.998,0.130
  STMEM_122 Brain CPZ (Re-my)  ,<0.000,0.146,0.982,1.069,0.108
  STMEM_123 Brain CPZ (Re-my)  ,<0.000,0.194,1.390,1.084,0.114
  STMEM_125 Brain CPZ (Re-my)  ,0.000,0.127,0.755,0.681,0.195
  STMEM_144 Brain CPZ (Re-my)  ,<0.000,0.241,0.736,1.014,0.114
  SAS9_230 Brain CPZ (Re-my)  ,<0.000,0.217,<0.000,0.927,0.096
  STMEM_105 Brain CPZ (Re-my)  ,0.008,0.140,1.463,1.131,0.121
  STMEM_104 Brain CPZ (Re-my)  ,<0.000,0.422,3.412,1.350,0.172
  STMEM_156 Brain CPZ (Re-my)  ,<0.000,0.109,1.591,1.178,0.126
  STMEM_153 Brain CPZ (Re-my)  ,0.025,0.047,0.467,1.045,0.085
  STMEM_154 Brain CPZ (Re-my)  ,<0.000,0.134,1.094,1.256,0.164
  STMEM_155 Brain CPZ (Re-my)  ,0.013,0.223,0.869,1.006,0.135
  STMEM_164 Brain CPZ (Re-my)  ,<0.000,0.072,0.602,0.816,0.114
  SGC_331 Brain CPZ (Re-my)  ,<0.000,0.206,0.583,1.061,0.190
